File, P1, P2, Date, Workers, Time Start, Time End, Collection, Magazine Name, Structure, Sheet Notes, Volume, Year, Date Start, Date End, Issue Start, Issue End, Type, Notes, Other Data
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 97, 1999, 9, 12, 97-3, 97-6, U, Fantasy & Science Fiction, Whole Issue #: 577-579
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 100, 2001, 1, 4, 100-1, 100-4, U, Fantasy & Science Fiction, Whole Issue #: 591-594
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 101, 2001, 9, 12, 101-3, 101-6, U, Fantasy & Science Fiction, Whole Issue #: 599-601
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 104-105, 2003, 2, 12, 104-2, 105-6, U, Fantasy & Science Fiction, Whole Issue #: 614-623
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 106-107, 2004, 1, 12, 106-1, 107-6, U, Fantasy & Science Fiction, Whole Issue #: 624-634
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 108-109, 2005, 1, 7, 108-1, 109-1, U, Fantasy & Science Fiction, Whole Issue #: 635-641
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 109, 2005, 9, , 109-3, , U, Fantasy & Science Fiction, Whole Issue #: 643
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 109, 2005, 12, , 109-6, , U, Fantasy & Science Fiction, Whole Issue #: 645
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 110, 2006, 1, 3, 110-1, 110-3, U, Fantasy & Science Fiction, Whole Issue #: 646-648
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 102, 2002, 1, 5, 102-1, 102-5, U, Fantasy & Science Fiction, Whole Issue #: 602-606
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 103, 2002, 7, 12, 103-1, 103-6, U, Fantasy & Science Fiction, Whole Issue #: 608-612
http://static.free-dissociation.com/magventory/mag-000.jpg, kevinr, dnawi, 1/22/08, KKB, , , C/M, , , processed in by Magdex., 104, 2003, 1, , 104-1, , U, Fantasy & Science Fiction, Whole Issue #: 613
http://static.free-dissociation.com/magventory/mag-001.jpg, kevinr, dnawi, 1/22/08, KKB, , , Reserve; New(ish) Mags, , , processed in from MagDex, 100-101, 2001, 1, 9, 100-1, 101-3, U, Fantasy & Science Fiction, Whole Issue #: 591-599
http://static.free-dissociation.com/magventory/mag-001.jpg, kevinr, dnawi, 1/22/08, KKB, , , Reserve; New(ish) Mags, , , processed in from MagDex, 97, 1999, 12, , 97-6, , U, Fantasy & Science Fiction, Whole Issue #: 579
http://static.free-dissociation.com/magventory/mag-001.jpg, kevinr, dnawi, 1/22/08, KKB, , , Reserve; New(ish) Mags, , , processed in from MagDex, 103, 2002, 7, , 103-1, , U, Fantasy & Science Fiction, Whole Issue #: 608
http://static.free-dissociation.com/magventory/mag-001.jpg, kevinr, dnawi, 1/22/08, KKB, , , Reserve; New(ish) Mags, , , processed in from MagDex, 109, 2005, 8, , 109-2, , U, , Whole Issue #: 642
http://static.free-dissociation.com/magventory/mag-001.jpg, kevinr, dnawi, 1/22/08, KKB, , , Reserve; New(ish) Mags, , , processed in from MagDex, 109, 2005, 10-11, , 109-435, , U, , Whole Issue #: 644
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 12/07, , 14-2, , U, Realms of Fantasy
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , , , 1-11, , U, Apex
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 1/08, , 114-1, , U, Fantasy & Science Fiction
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 11/07, , 59-5 (562), , U, Locus
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 2/08, , 14-3, , U, Realms of Fantasy
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 11/07, , 231 (20-3), , U, NYRSF
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 12/07, , 213, , U, Interzone
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , 2007, Fall, , 19-3 (70), , U, OnSpec
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 12/07, , 113-6 (667), , U, Fantasy & Science Fiction
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 1/08, , 32-1 (384), , U, Asimov's Science Fiction
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 10/07, , 20-2 (230), , U, NYRSF
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 1-2/08, , 128-1 and 2, , U, Analog
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 9-10/07, , 212, , U, Interzone
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , , 10/07, , 59-4 (561), , U, Locus
http://static.free-dissociation.com/magventory/mag-002.jpg, kevinr, dnawi, 1/12/08, KKB, , , New Mags processed from mail, misc., , , , 2007, Autumn, , 11, , U, Paradox
http://static.free-dissociation.com/magventory/mag-003.jpg, kevinr, dnawi, 10/21/07, KKB, , , C/M, F&SF, , MagDex Processing, , 1997, 8, , 93-2 (554), , U, 
http://static.free-dissociation.com/magventory/mag-003.jpg, kevinr, dnawi, 10/21/07, KKB, , , C/M, F&SF, , MagDex Processing, , 1997, 2, , 92-2 (548), , U, 
http://static.free-dissociation.com/magventory/mag-003.jpg, kevinr, dnawi, 10/21/07, KKB, , , C/M, F&SF, , MagDex Processing, , 1996, 3, , 90-3 (538), , U, 
http://static.free-dissociation.com/magventory/mag-003.jpg, kevinr, dnawi, 10/21/07, KKB, , , C/M, F&SF, , MagDex Processing, , 1996, 1, , 90-1 (536), , U, 
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 19, 2007, 7-07, , 227 (19-11), , u, The New York Review of Science Fiction
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 20, 2007, 9-07, , 229 (20-1), , u, The New York Review of Science Fiction
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, , 2007, 7-8, , 211, , u, Interzone
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 14, 2007, 10-07, , 14-1, , u, Realms of Fantasy
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 59, 2007, 7-07, , 59-1 (558), , u, Locus
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 59, 2007, 9-07, , 59-3 (560), , u, Locus
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 127, 2007, 10-07, , 127-10, , u, Analog
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 127, 2007, 11-07, , 127-11, , u, Analog
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 127, 2007, 12-07, , 127-12, , u, Analog
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 31, 2007, 9-07, , 31-9 (380), , u, Asimov's Science Fiction
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 31, 2007, 12-07, , 31-12 (383), , u, Asimov's Science Fiction
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 113, 2007, 9-07, , 113-3 (665), , u, Fantasy & Science Fiction
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 19, 2007, Summer, , 19-2 (69), , u, OnSpec
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, , 2007, , , 12, , u, Neo-opsis Science Fiction Magazine
http://static.free-dissociation.com/magventory/mag-004.jpg, ianyh, nhinchen, 10-21-07, KKB, , , New Mags, misc, , New Mags processed from incoming mail, 1, 2007, , , 1-10, , u, Apex
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 1, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 65, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 68, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 69, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 70, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 71, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 72, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 73, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 74, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 75, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 76, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 77, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 78, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 80, , B, 
http://static.free-dissociation.com/magventory/mag-006.jpg, keach, mgentile555, , JSB, , , F unDA (FPR), Perry Rhodan, , Silver holographic (abridged?) German, , , , , 81, , B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 91, 105, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 106, 120, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 136, 150, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 151, 165, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 376, 390, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 391, 405, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 421, 435, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 466, 480, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 481, 495, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 496, 510, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 511, 525, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 541, 555, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 556, 570, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 571, 585, B, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 65, 67, U, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 85, , U, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 119, , U, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 130, 131, U, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 133, , U, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 138, , U, 
http://static.free-dissociation.com/magventory/mag-007.jpg, kevinr, mgentile555, 10/4/2007, JSB, , , F unDA (FPR), Perry Rhodan, , original version (German), , , , , 142, , U, 
